HGNC,Ensembl_ID,GSM5584042,GSM5584043,GSM5584044,GSM5584045,GSM5584046,GSM5584047,GSM5584048,GSM5584049,GSM5584050,GSM5584051,GSM5584052
NRCAM,ENSG00000091129,0,0,0,61,70,127,0,0,0,0,0
LAMB1,ENSG00000091136,637,1455,34,1647,2329,821,1110,1042,822,2575,402
SLC26A4,ENSG00000091137,0,0,0,0,0,0,25,0,0,0,0
SLC26A3,ENSG00000091138,0,0,0,0,16,0,58,0,0,375,0
DLD,ENSG00000091140,2515,385,758,3167,2267,5626,5202,444,1199,6692,1742
WDR7,ENSG00000091157,1,1,136,517,952,0,31,14,0,0,35
TXNL1,ENSG00000091164,1427,1220,413,2177,1958,4783,4068,1569,1621,41,1737
IL5RA,ENSG00000091181,0,0,0,0,0,0,27,18,0,0,0
ABCC6,ENSG00000091262,0,0,46,1,190,0,8,1,1,42,1
CMTM6,ENSG00000091317,3225,2544,825,6297,3653,5254,7370,2504,1390,6424,3528
ITGA6,ENSG00000091409,7,544,637,867,398,0,463,393,1510,3174,361
RAPGEF4,ENSG00000091428,12,1,117,1523,63,6,2750,251,315,1596,580
MAP3K20,ENSG00000091436,1481,1805,1518,1820,5679,2435,1065,1076,1063,4009,778
SMPX,ENSG00000091482,0,0,0,0,0,0,0,0,0,0,0
FH,ENSG00000091483,1265,918,402,1111,388,5,2162,614,1337,1978,321
SEL1L3,ENSG00000091490,0,0,0,192,0,0,33,77,0,3,0
TF,ENSG00000091513,1,622,0,3,0,0,1556,0,1,680,0
CDV3,ENSG00000091527,5,955,223,672,1475,547,1487,221,375,248,104
MYO15A,ENSG00000091536,0,0,0,0,0,1,27,0,0,1,0
ALKBH5,ENSG00000091542,333,655,1257,879,304,373,441,233,794,299,344
APOH,ENSG00000091583,0,0,0,0,0,0,0,0,0,0,0
NLRP1,ENSG00000091592,1053,904,1,2474,2765,5,1679,620,2010,569,627
PITPNM3,ENSG00000091622,0,0,3,33,82,0,0,20,1,92,340
SPAG7,ENSG00000091640,4076,1723,2335,7696,6906,6615,7466,1572,3152,7688,1448
ORC6,ENSG00000091651,0,0,0,209,912,0,1,0,0,0,283
ZFHX4,ENSG00000091656,4,47,782,1,1,5,0,871,185,0,0
SLC17A6,ENSG00000091664,0,0,0,0,0,0,0,0,0,0,0
CPA1,ENSG00000091704,0,0,0,0,0,0,0,0,0,1,0
ZC3HC1,ENSG00000091732,6,1165,289,2435,72,1624,921,925,244,1126,1170
ESR1,ENSG00000091831,0,0,0,68,0,0,57,0,0,0,0
RGS17,ENSG00000091844,0,0,0,0,0,15,0,0,0,0,0
ANGPT2,ENSG00000091879,2,0,5,32,1656,0,4,0,108,642,3
TMEM101,ENSG00000091947,1742,367,463,830,8,2403,1236,1060,3197,4743,347
CD200,ENSG00000091972,3,64,571,3,0,641,1,680,0,1950,306
CCDC80,ENSG00000091986,4387,6200,4300,6789,3645,4096,7773,4940,12580,12457,3813
CMA1,ENSG00000092009,1,1367,2,1,2052,2021,1,0,0,956,387
PSME1,ENSG00000092010,5040,5387,2072,11913,10848,8804,9548,5960,4198,3223,5176
PPP2R3C,ENSG00000092020,5,437,298,190,1715,855,1074,417,0,416,2
HAUS4,ENSG00000092036,6,395,375,1,568,0,285,140,420,200,243
JPH4,ENSG00000092051,140,1,0,1,0,0,0,0,0,1,0
MYH7,ENSG00000092054,0,336,0,0,0,0,1,0,0,0,0
CEBPE,ENSG00000092067,0,0,0,0,0,0,0,0,0,0,0
SLC7A8,ENSG00000092068,2046,959,14,2979,691,2394,4982,1509,2334,3398,1422
OSGEP,ENSG00000092094,7,740,554,2470,3,2524,1575,496,1647,857,2333
SLC22A17,ENSG00000092096,0,0,23,0,0,3,0,0,4,1,176
RNF31,ENSG00000092098,5,1,2,0,471,123,0,0,270,0,0
SCFD1,ENSG00000092108,2093,442,672,1573,1448,3683,1714,182,227,2166,425
G2E3,ENSG00000092140,396,101,1,589,57,0,610,92,151,765,0
HECTD1,ENSG00000092148,2285,680,346,2250,1099,2845,2902,1220,53,8810,2871
HNRNPC,ENSG00000092199,4902,4178,3704,7204,4320,10576,7674,3408,7629,12154,3369
RPGRIP1,ENSG00000092200,0,0,0,1,0,0,0,0,0,0,13
SUPT16H,ENSG00000092201,1128,1066,675,5162,2894,2433,2810,397,1381,2899,1650
TOX4,ENSG00000092203,3339,3153,2114,4675,5661,6126,10090,3563,3451,6440,4321
GEMIN2,ENSG00000092208,13,265,0,402,953,36,244,2,165,198,0
TGM1,ENSG00000092295,2105,3861,2768,9890,6628,5397,6652,2519,3398,4327,2249
TINF2,ENSG00000092330,2007,59,2320,2292,1207,7964,4551,534,2291,7232,1342
DAZL,ENSG00000092345,0,0,121,0,0,0,1,0,0,11,0
TBL1Y,ENSG00000092377,0,0,0,96,0,0,0,0,0,1,26
SEMA6A,ENSG00000092421,11,17,44,4,0,0,224,280,0,323,60
TRPM7,ENSG00000092439,146,535,10,406,679,686,2015,111,9,1633,40
TYRO3,ENSG00000092445,318,23,167,1324,934,592,1633,368,34,95,1070
WDR76,ENSG00000092470,0,0,38,427,0,10,465,4,1,111,30
CAPN3,ENSG00000092529,218,14,35,142,122,154,693,60,0,848,107
SNAP23,ENSG00000092531,584,60,450,735,42,884,584,453,1162,3191,709
TBX15,ENSG00000092607,0,10,0,0,0,484,512,104,936,2259,0
PHGDH,ENSG00000092621,5069,3825,3110,11044,4638,9321,9484,7002,1889,8773,4700
COL9A3,ENSG00000092758,0,206,0,421,154,1,838,0,0,689,0
EZR,ENSG00000092820,12657,9766,7680,32246,25473,21801,32161,11713,11218,17064,11318
MYL6,ENSG00000092841,27560,24797,20053,33107,41400,70181,54533,22939,48145,57808,18121
AGO1,ENSG00000092847,23,220,802,589,5,0,263,839,535,3814,410
TEKT2,ENSG00000092850,0,0,0,0,0,0,0,0,0,0,0
CLSPN,ENSG00000092853,1,1,0,1,0,0,165,46,1,0,88
RFFL,ENSG00000092871,0,0,401,0,1,0,2,64,0,1,1
UNC13D,ENSG00000092929,2,2,307,3,2,0,2,2,0,538,806
MFSD11,ENSG00000092931,81,843,956,969,2095,0,1100,750,0,4498,3
DPYSL2,ENSG00000092964,1270,757,1200,3492,308,2441,1686,1209,875,5107,1930
TGFB2,ENSG00000092969,0,0,152,0,46,0,67,46,234,282,0
GPATCH2,ENSG00000092978,190,2,1,2,1893,0,34,19,861,169,207
NUP50,ENSG00000093000,135,111,161,558,1,522,206,326,905,1714,520
CDC45,ENSG00000093009,0,1,708,396,0,9,0,642,0,0,1
COMT,ENSG00000093010,3428,2908,1354,3540,8119,6982,4671,2772,1316,9333,3108
ADA2,ENSG00000093072,30,1755,6,492,44,3081,51,3,6,1066,30
AC016026.1,ENSG00000093100,0,3,0,0,0,0,0,0,0,0,0
VNN3,ENSG00000093134,0,0,1,2,0,0,338,0,0,0,0
ECHDC1,ENSG00000093144,908,1557,717,474,4,4564,2138,772,1117,4765,575
LRRFIP2,ENSG00000093167,618,1091,608,3425,2990,6061,1707,1407,273,2519,288
SEC22C,ENSG00000093183,209,176,80,1784,454,793,1,465,1,825,285
XYLB,ENSG00000093217,4,380,1,0,412,16,0,0,0,1574,114
HDAC6,ENSG00000094631,6,1199,4,614,853,1123,432,821,1765,929,842
OR1I1,ENSG00000094661,0,0,0,0,0,0,0,0,0,0,0
GABRP,ENSG00000094755,2,982,480,3,2273,1285,3867,18,1934,2798,1252
KRT31,ENSG00000094796,1185,697,535,1606,2230,534,1108,422,983,892,1217
CDC6,ENSG00000094804,1,0,3,864,1,1415,423,1,554,0,0
UPRT,ENSG00000094841,1302,516,536,625,1,2,1235,345,3,21,0
CDC23,ENSG00000094880,1165,837,12,2125,2,1571,2057,1477,1191,5372,113
AAAS,ENSG00000094914,536,1675,98,1587,5,1387,2092,2171,1211,50,957
CBX5,ENSG00000094916,1618,1661,706,5584,1852,1585,2835,2535,1379,2637,1753
FMO2,ENSG00000094963,0,44,149,0,182,6,320,0,0,614,1
SUCO,ENSG00000094975,1,312,257,5,316,837,1448,229,0,1254,162
MSH2,ENSG00000095002,0,2351,59,880,1162,4,587,401,958,0,524
MAP3K1,ENSG00000095015,1091,214,321,1770,887,1736,1657,432,118,2025,1177
DHPS,ENSG00000095059,2202,1723,981,4584,256,149,3907,1118,4,83,3059
HOOK2,ENSG00000095066,2931,1476,3096,4274,2935,4455,9090,1125,2276,10155,980
NXPE1,ENSG00000095110,0,11,0,0,0,0,0,0,0,52,0
ARCN1,ENSG00000095139,1218,409,596,1512,1194,985,1162,842,75,1297,862
EPB41L4B,ENSG00000095203,0,36,101,1509,417,0,561,3,3,120,235
TMEM38B,ENSG00000095209,435,2,188,106,1,0,68,0,0,1856,303
PSMD5,ENSG00000095261,1705,290,418,520,755,1517,721,808,870,407,1025
PTGS1,ENSG00000095303,5983,4134,1407,15495,5365,9348,9811,4822,5450,6783,7578
NUP188,ENSG00000095319,693,1095,25,2021,2411,1273,573,284,324,3244,681
CRAT,ENSG00000095321,2296,85,3695,1342,2967,3,6486,354,3393,14602,1282
SH2D3C,ENSG00000095370,563,498,5,123,3,5,525,546,69,5,66
NANS,ENSG00000095380,1383,1398,1914,649,1051,677,425,1144,2816,4941,1133
TBC1D2,ENSG00000095383,564,846,3,1059,2682,1,879,546,881,2710,139
WHRN,ENSG00000095397,261,0,19,0,0,1,27,1,0,0,0
PDE6C,ENSG00000095464,0,0,0,0,0,0,28,0,0,0,0
CWF19L1,ENSG00000095485,5,2,231,5,12,1839,1646,651,57,3904,4
SEMA4G,ENSG00000095539,1,2,101,50,1795,2,6,0,0,89,0
BTAF1,ENSG00000095564,689,823,1116,2060,1484,4,1378,13,605,4418,812
IKZF5,ENSG00000095574,3,291,595,1670,3,1,837,62,457,859,0
BLNK,ENSG00000095585,779,1,123,278,0,20,1207,297,7,744,4
TLL2,ENSG00000095587,0,0,0,0,0,0,0,0,984,0,0
CYP26A1,ENSG00000095596,0,0,0,0,0,0,0,0,0,0,0
TDRD1,ENSG00000095627,0,0,0,0,0,0,1,0,0,0,0
SORBS1,ENSG00000095637,655,735,946,2798,1491,5210,1772,764,651,1487,1091
CRTAC1,ENSG00000095713,0,1,0,0,117,0,0,0,0,0,0
BAMBI,ENSG00000095739,1,0,0,0,0,0,0,3,0,1081,0
IL11,ENSG00000095752,0,0,3,6,2,0,0,0,0,0,0
MYO3A,ENSG00000095777,0,257,0,0,0,0,0,0,0,0,0
WAC,ENSG00000095787,947,964,1734,1225,1975,1252,2359,843,1178,354,1396
CREM,ENSG00000095794,713,430,783,1212,0,13,4,2,1,907,229
NUBP2,ENSG00000095906,2116,2303,1466,1749,2570,3347,4597,4105,1697,2090,718
TPSD1,ENSG00000095917,1,112,108,22,0,28,184,50,167,107,12
SMIM24,ENSG00000095932,0,0,0,0,1,0,3,0,0,0,0
HIVEP1,ENSG00000095951,1,355,142,1037,453,0,69,0,65,0,31
TREM2,ENSG00000095970,0,0,442,0,0,0,0,0,1,0,1
KCNK16,ENSG00000095981,0,0,0,0,0,0,0,0,0,0,0
CRISP3,ENSG00000096006,2,3,9,0,3,1126,467,0,1,123,0
FKBP5,ENSG00000096060,4598,1129,2048,3242,18733,9634,8265,1049,3010,12407,2118
SRPK1,ENSG00000096063,3204,1706,720,2962,1640,1543,5355,2502,754,3453,1321
BRPF3,ENSG00000096070,164,201,0,3,0,210,1,47,1,0,0
MRPS18A,ENSG00000096080,878,709,480,2059,369,969,1426,492,1151,740,860
PGC,ENSG00000096088,0,0,0,0,0,0,0,0,0,0,0
TMEM14A,ENSG00000096092,436,313,145,244,840,151,1699,300,324,1249,769
EFHC1,ENSG00000096093,858,1078,99,1680,1083,336,1630,149,456,98,543
NCR2,ENSG00000096264,0,0,0,0,0,0,0,0,0,0,0
HSP90AB1,ENSG00000096384,17571,13621,13408,33534,26493,20358,26315,10689,22239,34248,16165
MLN,ENSG00000096395,0,0,0,0,0,0,101,0,0,0,0
CDC5L,ENSG00000096401,956,688,350,652,137,421,2610,522,7,4221,1069
ITPR3,ENSG00000096433,2237,446,473,2716,5012,5,1479,336,1728,365,1064
ZNF184,ENSG00000096654,0,0,1,4,413,0,0,293,32,224,0
DSP,ENSG00000096696,31403,25838,18324,59058,84871,19348,57041,20194,27724,73190,26746
SIRT1,ENSG00000096717,27,89,0,329,730,0,1,0,1,0,46
HNRNPH3,ENSG00000096746,1934,1057,412,1521,1317,3506,2221,1255,76,1109,470
IFT74,ENSG00000096872,1,176,0,913,0,88,1172,143,0,641,354
JAK2,ENSG00000096968,297,0,347,622,1095,2,278,12,188,294,326
IL12RB1,ENSG00000096996,2,3,0,2,1,0,698,0,0,2,1
ABL1,ENSG00000097007,1,1103,670,211,2,2,133,587,0,577,9
ACOT7,ENSG00000097021,2096,447,697,7,1966,1391,1806,772,2,549,40
SH3GLB1,ENSG00000097033,1148,1749,1659,3446,8,5741,4253,1003,1532,2482,794
CDC7,ENSG00000097046,127,0,2,240,0,51,82,243,0,0,33
SYDE2,ENSG00000097096,1,0,217,0,1,0,0,0,0,0,0
PCSK5,ENSG00000099139,2330,147,359,1,10,9,541,102,902,2249,82
SCD,ENSG00000099194,466,4135,28,1967,17,16319,703,673,8,2515,1988
TMED1,ENSG00000099203,201,1,338,224,1747,2266,1089,369,765,927,230
ABLIM1,ENSG00000099204,9100,8728,5378,19109,17142,14603,18902,6777,6399,25149,8563
ERMP1,ENSG00000099219,630,165,81,1,0,10,108,83,128,1240,8
RAB18,ENSG00000099246,3014,3290,547,4673,2654,6329,7584,2028,3001,5590,3069
NRP1,ENSG00000099250,7,73,1365,215,0,1546,419,2,359,3699,894
HSD17B7P2,ENSG00000099251,429,7,24,65,2,26,39,23,124,57,67
PRTFDC1,ENSG00000099256,0,0,0,0,0,0,37,0,0,785,13
PALMD,ENSG00000099260,846,2037,2071,5646,4551,2029,4570,1712,524,2996,533
TSPAN15,ENSG00000099282,113,209,3,0,0,1,69,0,1135,0,0
H2AFY2,ENSG00000099284,804,92,620,913,1082,1130,1388,0,1,73,0
WASHC2A,ENSG00000099290,280,119,3,446,1048,224,1025,271,2,907,157
MAST3,ENSG00000099308,364,94,151,1367,1015,279,538,78,28,9,38
MZF1,ENSG00000099326,322,59,149,53,943,1,655,485,184,102,189
OCEL1,ENSG00000099330,75,64,0,0,314,645,206,81,0,1,29
MYO9B,ENSG00000099331,96,2,2,514,5,0,796,0,1,513,18
KCNK6,ENSG00000099337,2732,1814,903,2199,3899,1986,3879,966,96,3627,1389
CATSPERG,ENSG00000099338,0,0,0,0,0,42,7,0,0,1,0
PSMD8,ENSG00000099341,8093,6166,5824,12949,16461,11742,10055,6414,7512,20757,4358
FBXL19,ENSG00000099364,0,0,0,0,0,0,0,0,0,0,0
STX1B,ENSG00000099365,0,0,0,0,0,0,0,0,0,0,0
HSD3B7,ENSG00000099377,367,327,244,271,54,796,900,739,1200,546,0
SETD1A,ENSG00000099381,3,18,0,1,25,0,690,207,0,0,85
BCL7C,ENSG00000099385,36,147,1,687,229,410,595,113,637,274,0
MAGEB2,ENSG00000099399,0,0,0,0,0,0,0,0,0,0,0
EFNA2,ENSG00000099617,0,0,0,0,0,0,0,0,0,0,0
CIRBP,ENSG00000099622,1951,1667,1440,954,5668,1280,2358,1915,4101,3273,1297
ATP5F1D,ENSG00000099624,1893,1095,1489,5509,4093,6580,6590,3011,4060,7534,1685
CBARP,ENSG00000099625,0,0,0,0,0,0,0,0,0,0,0
PCDH11Y,ENSG00000099715,0,0,0,0,0,0,0,0,0,0,0
AMELY,ENSG00000099721,0,0,0,0,0,0,0,0,0,0,0
PRKY,ENSG00000099725,3,0,0,1581,0,0,425,0,0,2121,200
IGFALS,ENSG00000099769,0,0,0,0,1,0,0,0,0,0,0
HNRNPM,ENSG00000099783,1388,6844,4520,12496,7313,12028,12933,5130,5709,18043,4033
2-Mar,ENSG00000099785,30,109,1,29,2,302,359,172,0,230,684
NDUFB7,ENSG00000099795,5595,3912,3503,5091,8027,9574,6881,3686,3925,2926,2647
TECR,ENSG00000099797,16046,5282,8733,25056,21424,17810,19267,8125,9379,27891,8126
TIMM13,ENSG00000099800,2428,1712,1325,8387,2808,5252,8172,2654,4637,5001,1999
CDC34,ENSG00000099804,139,0,238,642,2650,1120,1778,0,388,872,625
MTAP,ENSG00000099810,190,527,301,235,373,13,363,425,27,236,121
MISP,ENSG00000099812,0,177,1,0,1,0,2,226,0,0,0
CEP170B,ENSG00000099814,7,9,14,4,40,108,8,17,1,62,0
POLR2E,ENSG00000099817,3569,3499,2568,5134,15035,14217,6858,8007,2423,9851,4499
POLRMT,ENSG00000099821,322,11,88,162,0,195,1395,1,937,232,171
HCN2,ENSG00000099822,0,0,0,0,0,0,0,0,0,1,0
CDHR5,ENSG00000099834,0,0,0,0,0,0,0,0,0,0,0
IZUMO4,ENSG00000099840,0,0,1,0,1,0,0,164,0,0,0
RASSF7,ENSG00000099849,2492,613,952,6440,1264,2827,1235,1862,1383,527,602
GADD45B,ENSG00000099860,54,175,211,247,411,97,501,206,0,176,34
PALM,ENSG00000099864,1,1,94,0,93,503,354,219,0,888,1
MADCAM1,ENSG00000099866,0,370,0,27,0,0,0,0,0,0,0
IGF2-AS,ENSG00000099869,0,0,0,0,0,0,0,0,0,0,0
MKNK2,ENSG00000099875,365,31,24,113,1121,58,97,147,301,12,66
ARVCF,ENSG00000099889,0,0,0,36,0,12,503,0,0,92,0
TRMT2A,ENSG00000099899,11,30,1298,1340,2345,2,1266,407,1,4608,98
RANBP1,ENSG00000099901,308,700,675,729,2514,1787,1314,597,51,2329,591
ZDHHC8,ENSG00000099904,0,3,12,140,15,393,3,255,190,4,4
KLHL22,ENSG00000099910,0,0,32,0,0,0,24,0,0,450,0
MED15,ENSG00000099917,244,138,166,490,559,304,182,26,143,269,62
SERPIND1,ENSG00000099937,0,0,0,1,0,0,0,0,0,0,13
SNAP29,ENSG00000099940,579,968,719,583,350,297,1734,1092,786,467,1316
CRKL,ENSG00000099942,451,1059,240,3058,1379,2032,1562,1818,1585,275,747
LZTR1,ENSG00000099949,0,1,471,488,0,2,20,14,0,83,0
MMP11,ENSG00000099953,0,0,0,0,0,0,0,0,0,0,0
CECR2,ENSG00000099954,1,0,0,0,0,0,39,0,0,1241,0
SMARCB1,ENSG00000099956,213,651,92,643,203,428,1287,243,215,1100,244
P2RX6,ENSG00000099957,0,0,319,1,0,0,0,0,0,0,0
DERL3,ENSG00000099958,0,0,0,0,0,0,0,0,0,0,0
SLC7A4,ENSG00000099960,302,1,0,510,264,157,1,285,0,0,100
BCL2L13,ENSG00000099968,1478,1364,525,2333,2670,1062,1211,1893,3919,4327,1816
DDTL,ENSG00000099974,199,0,0,0,205,0,0,0,0,0,0
DDT,ENSG00000099977,0,0,1,2,0,2,0,11,0,13,0
GSTT2,ENSG00000099984,0,0,0,1,0,0,0,0,0,0,0
OSM,ENSG00000099985,2,0,0,0,0,0,2,0,0,1,0
CABIN1,ENSG00000099991,303,49,246,1347,232,1,539,0,0,698,89
TBC1D10A,ENSG00000099992,818,213,153,1027,1,391,415,542,283,631,216
SUSD2,ENSG00000099994,1297,4,1537,2452,4966,4110,5313,2151,5170,7981,4681
SF3A1,ENSG00000099995,215,375,379,258,211,1367,879,313,1024,774,599
GGT5,ENSG00000099998,79,442,323,1,2,1673,414,845,88,0,0
RNF215,ENSG00000099999,1,1,1,29,0,0,0,0,0,0,0
SEC14L2,ENSG00000100003,1,344,0,556,1,656,726,0,0,603,1
SEC14L3,ENSG00000100012,0,0,0,1,0,0,0,0,0,0,0
SPECC1L,ENSG00000100014,1,0,1,0,0,22,151,39,360,3,0
PPIL2,ENSG00000100023,3,1192,12,24,1,0,1,1,1221,1999,83
UPB1,ENSG00000100024,0,0,0,0,0,0,0,0,0,0,0
YPEL1,ENSG00000100027,0,0,1,0,0,0,1,0,0,0,0
SNRPD3,ENSG00000100028,4142,957,886,2636,2918,3385,2609,1432,2859,5241,2605
PES1,ENSG00000100029,11,15,0,61,12,0,594,0,101,1,310
MAPK1,ENSG00000100030,3381,949,372,5421,143,6,2558,913,6,4435,392
GGT1,ENSG00000100031,0,2,334,86,0,853,415,0,0,0,0
PRODH,ENSG00000100033,0,0,0,23,0,0,3,3,0,0,0
PPM1F,ENSG00000100034,5,143,380,79,2,0,496,0,82,3,81
SLC35E4,ENSG00000100036,982,22,16,1,0,1389,24,1082,1558,1932,350
TOP3B,ENSG00000100038,0,0,0,10,0,0,0,0,0,0,0
CRYBB3,ENSG00000100053,0,0,0,0,0,0,0,0,0,0,0
CYTH4,ENSG00000100055,0,1,258,5,1,365,14,81,9,3,0
ESS2,ENSG00000100056,1671,1168,1251,2565,2611,2,1012,560,1353,6,1312
CRYBB2P1,ENSG00000100058,588,9,106,1007,2,590,251,104,585,728,154
MFNG,ENSG00000100060,7,463,5,14,9,794,1225,158,1113,1095,25
CARD10,ENSG00000100065,1,420,1,862,0,1532,54,0,0,0,1149
LRP5L,ENSG00000100068,1,1,39,0,0,79,24,341,1062,1294,0
SLC25A1,ENSG00000100075,2356,2932,2041,2500,2991,11600,3291,2785,6800,8102,636
GRK3,ENSG00000100077,99,136,0,557,4070,1,976,57,284,1820,463
PLA2G3,ENSG00000100078,26,5,0,1,0,0,0,231,696,198,0
LGALS2,ENSG00000100079,23,4,161,7,5,4,2,18,1,60,0
GGA1,ENSG00000100083,2,10,105,537,343,1194,642,18,3,1716,876
HIRA,ENSG00000100084,1,183,0,141,0,1,0,0,69,661,1
SH3BP1,ENSG00000100092,0,0,0,0,0,0,0,49,168,0,45
SEZ6L,ENSG00000100095,1,0,0,0,25,0,0,0,0,3,0
LGALS1,ENSG00000100097,11204,13082,7710,12525,7983,27175,18015,9551,24239,23111,3965
HPS4,ENSG00000100099,453,953,273,2230,920,67,3063,1560,394,4535,978
PIK3IP1,ENSG00000100100,1070,2472,1381,4872,5071,2228,9861,3941,6016,13327,2419
Z83844.1,ENSG00000100101,0,0,0,0,0,0,0,0,0,0,0
SRRD,ENSG00000100104,1,126,312,0,478,0,291,0,0,299,1
PATZ1,ENSG00000100105,0,0,516,3,1,1,1465,0,0,2,18
TRIOBP,ENSG00000100106,252,597,286,1315,184,793,771,495,161,1208,0
TFIP11,ENSG00000100109,3,682,1202,68,890,1590,74,332,1,4950,1702
GCAT,ENSG00000100116,886,663,818,279,2018,1618,725,0,1,1,706
GGTLC2,ENSG00000100121,0,0,0,0,0,0,0,0,0,0,0
CRYBB1,ENSG00000100122,0,0,0,0,0,0,0,0,0,0,0
ANKRD54,ENSG00000100124,729,187,274,1234,2447,1203,332,1082,2780,3200,0
EIF3L,ENSG00000100129,6907,6570,4890,8192,7854,4191,10743,4076,4876,17253,2955
SNU13,ENSG00000100138,3216,4395,3957,8468,15058,13990,10151,2367,2182,7317,3580
MICALL1,ENSG00000100139,75,883,444,1425,2660,3939,1262,22,1418,1176,215
POLR2F,ENSG00000100142,1160,1564,1665,2977,6495,8403,4504,1607,2818,3783,2131
SOX10,ENSG00000100146,0,78,10,0,0,0,0,215,0,192,0
CCDC134,ENSG00000100147,0,1,0,2,0,0,596,11,0,609,86
DEPDC5,ENSG00000100150,0,17,1,1063,179,0,250,0,0,25,20
PICK1,ENSG00000100151,359,0,146,577,1024,0,1,0,1,1,0
TTC28,ENSG00000100154,22,343,124,1,641,2,175,0,367,1679,13
SLC16A8,ENSG00000100156,0,1,0,0,0,0,0,0,0,0,0
CENPM,ENSG00000100162,71,273,331,0,1148,757,520,325,341,422,620
3-Sep,ENSG00000100167,1,140,467,0,0,0,16,0,0,0,31
SLC5A1,ENSG00000100170,1497,1694,97,1403,4753,2176,1434,172,725,1519,1898
TPTEP1,ENSG00000100181,0,0,4,89,315,175,336,239,0,31,145
SLC5A4,ENSG00000100191,0,0,0,0,0,0,0,0,0,0,1
KDELR3,ENSG00000100196,929,373,770,2,1080,1087,510,1,0,1127,3
CYP2D6,ENSG00000100197,0,1,2,1,0,0,0,0,0,2,0
DDX17,ENSG00000100201,1832,2132,626,6146,5784,1796,4287,1435,448,3631,1129
DMC1,ENSG00000100206,43,11,0,0,142,0,1,14,0,0,0
TCF20,ENSG00000100207,3,2,1146,1231,460,0,634,2,1,2038,149
HSCB,ENSG00000100209,8,120,175,0,33,0,112,73,0,44,8
CBY1,ENSG00000100211,904,929,488,967,2949,3112,1342,453,553,1536,408
TOMM22,ENSG00000100216,2215,1043,1625,2324,4984,3223,2725,1750,1798,2231,1926
RSPH14,ENSG00000100218,446,0,0,1,0,0,0,0,0,4,0
XBP1,ENSG00000100219,2606,2027,2512,3103,6289,1066,1891,2340,5171,2476,1821
RTCB,ENSG00000100220,3386,5545,2686,12889,3813,4299,13573,6869,6047,13089,3103
JOSD1,ENSG00000100221,762,696,264,770,1,159,1354,1,1,1425,89
FBXO7,ENSG00000100225,2125,1389,1868,5474,2222,5185,5695,903,3748,1437,2928
GTPBP1,ENSG00000100226,1,759,86,188,17,692,2170,1236,552,598,44
POLDIP3,ENSG00000100227,30,1456,60,2701,2290,2834,4239,2513,3134,4391,2315
RAB36,ENSG00000100228,0,0,0,162,97,184,1,0,0,1,0
TIMP3,ENSG00000100234,3744,2818,2959,2128,1640,1856,2314,1507,2632,4992,2164
PPP6R2,ENSG00000100239,589,855,759,450,2242,2959,2231,4,76,783,197
SBF1,ENSG00000100241,229,2,108,247,257,124,24,155,0,1740,82
SUN2,ENSG00000100242,99,57,47,241,2,191,445,142,13,161,55
CYB5R3,ENSG00000100243,2596,1847,1180,3246,3997,7825,3262,3423,4228,7329,1991
DNAL4,ENSG00000100246,32,111,121,538,174,10,113,98,251,0,47
C22orf31,ENSG00000100249,0,0,0,0,751,0,0,0,0,0,0
MIOX,ENSG00000100253,0,0,0,0,0,0,0,0,0,0,0
LMF2,ENSG00000100258,138,143,33,794,335,332,884,298,126,131,317
RHBDD3,ENSG00000100263,156,2969,4,948,2,0,82,454,1024,293,95
PACSIN2,ENSG00000100266,7,296,12,696,3,521,926,496,754,37,21
TTLL1,ENSG00000100271,4,13,4,7,431,1133,0,606,0,8,57
RASL10A,ENSG00000100276,0,0,8,0,0,0,0,0,0,0,85
AP1B1,ENSG00000100280,1681,351,903,353,2218,873,970,558,402,3067,455
HMGXB4,ENSG00000100281,627,3,8,1834,1784,237,1114,2,857,756,232
TOM1,ENSG00000100284,1626,1807,1410,3032,3833,5328,5303,1858,2597,6681,1497
NEFH,ENSG00000100285,0,0,0,0,0,0,0,0,0,0,0
CHKB,ENSG00000100288,118,37,2,36,25,11,55,10,23,13,8
BIK,ENSG00000100290,0,263,0,416,987,1,430,0,1,0,0
HMOX1,ENSG00000100292,797,1237,1,2686,2571,1152,1234,535,1641,3514,923
MCAT,ENSG00000100294,721,440,413,1477,130,81,1094,269,1588,665,862
THOC5,ENSG00000100296,474,5,4,2620,137,165,4411,1237,1863,3,380
MCM5,ENSG00000100297,17,160,700,1397,509,3863,4836,1129,3991,3787,6
APOBEC3H,ENSG00000100298,0,0,0,0,1,1,1,0,0,0,0
ARSA,ENSG00000100299,786,11,223,1491,1913,3,1087,401,2238,2656,489
TSPO,ENSG00000100300,29391,13351,11238,28502,30333,32183,32774,16772,21458,16460,14192
RASD2,ENSG00000100302,0,0,1,0,0,0,0,0,0,58,21
TTLL12,ENSG00000100304,1525,5,706,193,3,549,1080,615,632,2343,738
CBX7,ENSG00000100307,755,0,0,95,1,0,24,130,176,0,0
PDGFB,ENSG00000100311,236,0,0,0,1,1,343,0,1,0,116
ACR,ENSG00000100312,0,0,0,0,0,0,0,0,0,7,0
CABP7,ENSG00000100314,0,0,0,0,0,0,0,0,0,0,0
RPL3,ENSG00000100316,43878,25500,26702,73113,93273,96878,92235,47618,57950,91591,39408
ZMAT5,ENSG00000100319,59,583,142,54,122,901,483,322,1300,427,80
